"District","School","GrowthStatus","PctPassingEOGTests","PctFreeReduced","HasStringsProgram","SchoolScore","Grade"
"Charlotte-Mecklenburg Schools","Winget Park Elementary","Exceeded",64.60,41.70,0,69,"C"
"Charlotte-Mecklenburg Schools","J.V. Washam Elementary","Met",78.20,18.90,0,78,"B"
"Asheboro City Schools","South Asheboro Middle","Met",43.50,63.50,0,50,"D"
"Stanly County Schools","Albemarle High","NotMet",36.80,69.00,0,54,"D"
"Ashe County Schools","Blue Ridge Elementary","Exceeded",52.10,71.50,0,59,"C"
"Nash-Rocky Mount Schools","Northern Nash High","NotMet",40.70,51.60,0,56,"C"
"Johnston County Schools","Micro-Pine Level Elementary","Met",48.70,67.50,0,56,"C"
"Catawba County Schools","River Bend Middle","Exceeded",48.60,62.00,0,58,"C"
"Wake County Schools","Douglas Elementary","Met",61.60,35.70,0,64,"C"
"Asheville City Schools","Vance Elementary","Exceeded",74.30,48.70,0,78,"B"
"Alamance-Burlington Schools","Eastern Alamance High","Met",57.10,35.90,0,69,"C"
"Alamance-Burlington Schools","Pleasant Grove Elementary","NotMet",40.40,79.50,0,46,"D"
"Union County Public Schools","Poplin Elementary","Met",77.90,27.10,0,79,"B"
"Alamance-Burlington Schools","Haw River Elementary","NotMet",33.00,91.50,0,39,"F"
"Harnett County Schools","Highland Elementary","Exceeded",61.60,43.90,0,66,"C"
"Guilford County Schools","Guilford Middle","Met",50.80,73.20,0,55,"C"
"Alamance-Burlington Schools","Hugh M Cummings High","Exceeded",42.60,80.00,0,58,"C"
"Charlotte-Mecklenburg Schools","Elizabeth Lane Elementary","Met",85.40,10.60,0,85,"A"
"Brunswick County Schools","Lincoln Elementary","Exceeded",51.90,81.60,0,60,"C"
"Alamance-Burlington Schools","Alamance-Burlington Middle College","N/A",0.00,44.60,0,85,"A"
"Hoke County Schools","Hoke County High","Exceeded",43.80,64.10,0,62,"C"
"Anson County Schools","Anson New Tech High","NotMet",26.10,72.00,0,49,"D"
"Alamance-Burlington Schools","Eastlawn Elementary","Met",22.60,,0,33,"F"
"Rutherford County Schools","Mt Vernon-Ruth Elementary School","Met",59.80,73.80,0,65,"C"
"Forsyth County Schools","Cook Elementary","NotMet",10.60,,0,22,"F"
"Bertie County Schools","Aulander Elementary","Met",34.80,93.40,0,43,"D"
"Alamance-Burlington Schools","E M Yoder Elementary","Met",65.40,41.70,0,69,"C"
"Charlotte-Mecklenburg Schools","North Mecklenburg High","Exceeded",56.70,60.30,0,72,"B"
"Alamance-Burlington Schools","Alexander Wilson Elementary","Exceeded",62.60,47.20,0,67,"C"
"Cabarrus County Schools","C C Griffin Middle","NotMet",41.70,61.10,0,46,"D"
"Union County Public Schools","Marshville Elementary","Met",55.80,71.10,0,59,"C"
"Surry County Schools","J Sam Gentry Middle","NotMet",61.20,59.20,0,63,"C"
"Anson County Schools","Anson High School","Met",26.80,75.80,0,55,"C"
"Charlotte-Mecklenburg Schools","Dilworth Elementary","Met",84.00,20.50,0,83,"B"
"Cleveland County Schools","Boiling Springs Elementary","Exceeded",74.50,55.00,0,78,"B"
