LEA Code	Code	School Name	Level	Grade Span	Calendar	Magnet Programs	Enhancement Program	"School Membership 2013-14 (ADM, Mo2)"	GRD KI	GRD 1	GRD 2	GRD 3	GRD 4	GRD 5	GRD 6	GRD 7	GRD 8	GRD 9	GRD 10	GRD 11	GRD 12	GRD 13	MALE	FEMALE	"School Membership 2013-14 (MLD,  Mo3)"	American Indian and Alaska Native	Asian	Black or African American	Hispanic or Latino	Native Hawaiian and Other Pacific Islander	Two or More Races	White	% American Indian and Alaska Native	% Asian	% Black or African American	% Hispanic or Latino	% Native Hawaiian and Other Pacific Islander	% Two or More Races	% White	F&R	Percent F&R	LEP	Percent LEP	TITLE 1 PROGRAM	School Board District	School Board Member	Area Superintendent District	Area Superintendent	School Location in Municipal Extra Teritorial Jurisdiction	School Location within Municipal Corporate Limit 	Number Permanent Learning Spaces	20th Day Actual Membership	Special Needs Program Adjustment	Existing School Building Capacity	Long-Range School Campus Capacity [LRSCC]	LRSCC Percent Crowding (inc. Prog. Adjustment) 	Existing Temporary Classrooms	Annual School Campus Capacity [ASCC]	Percent in Temporary Classrooms	ASCC Percent Crowding 
920304	304	Adams Elementary	E	KI-5	Y-R			776	124	142	125	134	120	131	-	-	-	-	-	-	-	-	386	394	780	4	46	73	210	1	30	416	0.5%	5.9%	9.4%	26.9%	0.1%	3.8%	53.3%	293	37.4%	144	18.5%	YES	Western Wake	Bill Fletcher 	Western Wake County	Jacqueline Ellis	Cary	CARY	37	776	(124)	705	843	107.9%	765	101.4%	8	24.1%
920307	307	Alston Ridge Elementary	E	KI-5	Y-R t4			956	209	173	162	133	157	122	-	-	-	-	-	-	-	-	498	476	974	0	286	115	68	3	51	451	0.0%	29.4%	11.8%	7.0%	0.3%	5.2%	46.3%	67	6.9%	62	6.5%	NO	Southern Wake	Susan Evans	Western Wake County	Jacqueline Ellis	Cary	CARY	51	956	111	800	892	95.3%	911	104.9%	0	0.0%
920308	308	Apex Elementary	E	KI-5	T			677	100	110	106	119	120	122	-	-	-	-	-	-	-	-	347	331	678	1	23	83	134	0	35	402	0.1%	3.4%	12.2%	19.8%	0.0%	5.2%	59.3%	220	32.4%	72	10.7%	YES	Southern Wake	Susan Evans	Southwestern Wake County	Clinton Robinson	Apex	APEX	37	677	(41)	586	609	119.2%	637	106.3%	4	14.4%
920320	320	Aversboro Elementary	E	KI-5	T		"Small School 
STEM Schools Collaborative Network"	541	84	116	92	91	65	93	-	-	-	-	-	-	-	-	272	270	542	1	5	195	109	1	25	206	0.2%	0.9%	36.0%	20.1%	0.2%	4.6%	38.0%	289	53.6%	55	10.1%	YES	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Garner	GARNER	40	541	(115)	655	747	85.6%	540	100.2%	0	0.0%
920326	326	Baileywick Road Elementary	E	KI-5	T		Small School	438	81	70	87	68	66	66	-	-	-	-	-	-	-	-	228	205	433	0	8	94	134	1	15	181	0.0%	1.8%	21.7%	30.9%	0.2%	3.5%	41.8%	207	47.8%	93	20.6%	YES	North Raleigh	Kevin Hill	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	34	438	(32)	517	517	90.3%	485	90.3%	0	0.0%
920327	327	Ballentine Elementary	E	KI-5	Y-R			513	79	73	93	84	89	95	-	-	-	-	-	-	-	-	282	230	512	1	4	29	135	0	10	333	0.2%	0.8%	5.7%	26.4%	0.0%	2.0%	65.0%	178	34.2%	92	17.8%	YES	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Fuquay-Varina	FUQUAY-VARINA	36	513	(60)	682	705	79.5%	714	71.8%	4	12.9%
920325	325	Banks Road Elementary	E	KI-5	Y-R			717	115	136	119	118	111	118	-	-	-	-	-	-	-	-	359	345	704	0	5	67	121	0	19	492	0.0%	0.7%	9.5%	17.2%	0.0%	2.7%	69.9%	215	29.8%	69	9.4%	YES	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Fuquay-Varina	FUQUAY-VARINA	51	717	(66)	"1,078"	"1,170"	64.9%	"1,012"	70.8%	0	0.0%
920329	329	Barwell Road Elementary	E	KI-5	Y-R		Renaissance School	790	156	135	129	143	107	120	-	-	-	-	-	-	-	-	450	371	821	2	37	461	243	2	21	55	0.2%	4.5%	56.2%	29.6%	0.2%	2.6%	6.7%	606	71.3%	187	23.4%	YES	Southeast Wake	Monika Johnson-Hostler	Southwestern Wake County	Clinton Robinson	Raleigh	RALEIGH	48	790	(133)	"1,009"	"1,055"	85.7%	876	90.2%	0	0.0%
920328	328	Baucom Elementary	E	KI-5	T			897	131	147	152	160	145	162	-	-	-	-	-	-	-	-	456	444	900	3	44	87	107	0	26	633	0.3%	4.9%	9.7%	11.9%	0.0%	2.9%	70.3%	146	16.2%	57	6.3%	NO	Southern Wake	Susan Evans	Southwestern Wake County	Clinton Robinson	Apex	APEX	39	897	(14)	632	816	111.8%	848	105.8%	10	27.1%
920334	334	Brassfield Elementary	E	KI-5	Y-R			792	139	131	132	128	136	126	-	-	-	-	-	-	-	-	408	382	790	1	28	74	86	1	24	576	0.1%	3.5%	9.4%	10.9%	0.1%	3.0%	72.9%	113	14.2%	44	5.5%	NO	North Raleigh	Kevin Hill	Northern Wake County	Pamela Kinsey-Barker	Wake County	WAKE COUNTY	35	792	(6)	659	659	121.3%	768	103.1%	5	15.0%
