Property,WCPSS
09 - ROLESVILLE HS,Rolesville High
10 - ROLESVILLE HS,Rolesville High
11 - ROLESVILLE HS,Rolesville High
12 - E WAKE HS,East Wake School
12 - HERITAGE HS,Heritage High
12 - KNIGHTDALE HS,Knightdale High
12 - MILLBROOK HS,Millbrook High
12 - WAKE FOREST HS,Wake Forest High School
12 - WAKEFIELD HS,Wakefield High
ADAMS ES,Adams Elementary
ALSTON RIDGE ES,Alston Ridge Elementary
APEX ES,Apex Elementary
APEX HS,Apex High
APEX MS,Apex Middle
ATHENS DR HS,Athens Drive High
AVERSBORO ES,Aversboro Elementary
BAILEYWICK ES,Baileywick Road Elementary
BANKS RD ES,Banks Rd Elementary
BARWELL RD ES,Barwell Road Elementary
BAUCOM ES,Baucom Elementary
BRASSFIELD ES,Brassfield Elementary
BRENTWOOD ES,Brentwood Elementary
BRIARCLIFF ES,Briarcliff Elementary
BRIER CREEK ES,Brier Creek Elementary
BROOKS ES,Brooks Elementary
BROUGHTON HS,Needham Broughton High
BUGG ES,Bugg Elementary
CARNAGE MS,Carnage Middle
CARPENTER ES,Carpenter Elementary
CARROLL MS,Carroll Middle
CARVER ES,Carver Elementary
CARY ES,Cary Elementary
CARY HS,Cary High
CEDAR FORK ES,Cedar Fork Elementary
CENTENNIAL MS,Centennial Campus Middle
COMBS ES,Combs Elementary
CONN ES,Conn Elementary
CREECH RD ES,Creech Road Elementary
DANIELS MS,Daniels Middle
DAVIS DR ES,Davis Drive Elementary
DAVIS DR MS,Davis Drive Middle
DILLARD DR ES,Dillard Drive Elementary
DILLARD DR MS,Dillard Drive Middle
DOUGLAS ES,Douglas Elementary
DURANT RD ES,Durant Road Elementary
DURANT RD MS,Durant Road Middle
E CARY MS,East Cary Middle
E GARNER MS,East Garner Middle
E MILLBROOK MS,East Millbrook Middle
E WAKE HS,East Wake School
E WAKE MS,East Wake Middle
EAST GARNER ES,East Garner Elementary
ENLOE HS,William G Enloe High
FARMINGTON WOODS ES,Farmington Woods Elementary
FOREST PINES DR ES,Forest Pines Elementary
FORESTVILLE RD ES,Forestville Road Elementary
FOX RD ES,Fox Road Elementary
FULLER ES,Fuller Elementary
FUQUAY-VARINA HS,Fuquay-Varina High
FUQUAY-VARINA MS,Fuquay-Varina Middle
GARNER HS,Garner High
GREEN ES,Green Elementary
GREEN HOPE ES,Green Hope Elementary
GREEN HOPE HS,Green Hope High
HARRIS CREEK ES,Harris Creek Elementary
HERITAGE HS,Heritage High
HIGHCROFT DR ES,Highcroft Elementary
HILBURN DRIVE ACAD,Hilburn Drive Academy
HODGE RD ES,Hodge Road Elementary
HOLLY GROVE ES,Holly Grove Elementary
HOLLY GROVE MS,Holly Grove Middle
HOLLY RIDGE ES,Holly Ridge Elementary
HOLLY RIDGE MS,Holly Ridge Middle
HOLLY SPRINGS ES,Holly Springs Elementary
HOLLY SPRINGS HS,Holly Springs High
HUNTER ES,Hunter Elementary
JEFFREYS GROVE ES,Jeffreys Grove Elementary
JOYNER ES,Joyner Elementary
KINGSWOOD ES,Kingswood Elementary
